[0.0, 1, 0.0, 0.0]	[-0.5 -0.5]
[3.141593, 1, 0.0, 0.0]	[-0.5 -0.5]
[6.283185, 1, 0.0, 0.0]	[-0.5 -0.5]
[0.249235, 1, 0.0, 1.0471975511965976]	[-0.5 -0.5]
[1.856868, 1, 0.0, 2.0943951023931953]	[-0.5 -0.5]
[1.047198, 1, 0.0, 3.141592653589793]	[-0.5 -0.5]
[5.235988, 1, 0.0, 3.141592653589793]	[-0.5 -0.5]
[0.179221, 1, 1.0471975511965976, 0.0]	[-0.5 -0.5]
[1.828504, 1, 1.0471975511965976, 3.141592653589793]	[-0.5 -0.5]
[5.396791, 1, 1.0471975511965976, 3.141592653589793]	[-0.5 -0.5]
[0.335506, 1, 2.0943951023931953, 0.0]	[-0.5 -0.5]
[3.748196, 1, 2.0943951023931953, 0.0]	[-0.5 -0.5]
[4.867439, 1, 2.0943951023931953, 3.141592653589793]	[-0.5 -0.5]
[0.0, 1, 3.141592653589793, 0.0]	[-0.5 -0.5]
[3.141593, 1, 3.141592653589793, 0.0]	[-0.5 -0.5]
[6.283185, 1, 3.141592653589793, 0.0]	[-0.5 -0.5]
[3.390828, 1, 3.141592653589793, 1.0471975511965976]	[-0.5 -0.5]
[4.998461, 1, 3.141592653589793, 2.0943951023931953]	[-0.5 -0.5]
[2.094395, 1, 3.141592653589793, 3.141592653589793]	[-0.5 -0.5]
[4.18879, 1, 3.141592653589793, 3.141592653589793]	[-0.5 -0.5]
[0.0, 2, 0.0, 0.0]	[-0.5 -0.5]
[3.141593, 2, 0.0, 0.0]	[-0.5 -0.5]
[6.283185, 2, 0.0, 0.0]	[-0.5 -0.5]
[0.476347, 2, 0.0, 1.0471975511965976]	[-0.5 -0.5]
[1.443539, 2, 0.0, 2.0943951023931953]	[-0.5 -0.5]
[1.047198, 2, 0.0, 3.141592653589793]	[-0.5 -0.5]
[5.235988, 2, 0.0, 3.141592653589793]	[-0.5 -0.5]
[0.375649, 2, 1.0471975511965976, 0.0]	[-0.5 -0.5]
[1.763127, 2, 1.0471975511965976, 3.141592653589793]	[-0.5 -0.5]
[3.517241, 2, 2.0943951023931953, 0.0]	[-0.5 -0.5]
[4.904719, 2, 2.0943951023931953, 3.141592653589793]	[-0.5 -0.5]
[0.0, 2, 3.141592653589793, 0.0]	[-0.5 -0.5]
[3.141593, 2, 3.141592653589793, 0.0]	[-0.5 -0.5]
[6.283185, 2, 3.141592653589793, 0.0]	[-0.5 -0.5]
[3.617939, 2, 3.141592653589793, 1.0471975511965976]	[-0.5 -0.5]
[4.585131, 2, 3.141592653589793, 2.0943951023931953]	[-0.5 -0.5]
[2.094395, 2, 3.141592653589793, 3.141592653589793]	[-0.5 -0.5]
[4.18879, 2, 3.141592653589793, 3.141592653589793]	[-0.5 -0.5]
