[3.141593, 1, 0.0, 1.0471975511965976]	[ 5.99999898e-07 -1.00000060e+00]
[3.141592, 1, 0.0, 1.0471975511965976]	[-1.13205137e-06 -9.99998868e-01]
[6.283185, 1, 0.0, 2.0943951023931953]	[-5.32051077e-07 -9.99999468e-01]
[3.912809, 1, 1.0471975511965976, 0.0]	[-1.25986673e-06 -9.99998740e-01]
[3.912806, 1, 1.0471975511965976, 0.0]	[-1.12781603e-05 -9.99988722e-01]
[0.513219, 1, 1.0471975511965976, 1.0471975511965976]	[-1.31020362e-06 -9.99998690e-01]
[0.51322, 1, 1.0471975511965976, 1.0471975511965976]	[ 1.92040859e-06 -1.00000192e+00]
[0.513217, 1, 1.0471975511965976, 1.0471975511965976]	[-7.77149267e-06 -9.99992229e-01]
[3.434902, 1, 1.0471975511965976, 1.0471975511965976]	[ 2.23740194e-05 -1.00002237e+00]
[3.43488, 1, 1.0471975511965976, 1.0471975511965976]	[-2.14166237e-05 -9.99978583e-01]
[6.080313, 1, 1.0471975511965976, 2.0943951023931953]	[-4.98756117e-06 -9.99995012e-01]
[2.451335, 1, 1.0471975511965976, 2.0943951023931953]	[-4.05463959e-06 -9.99995945e-01]
[2.451336, 1, 1.0471975511965976, 2.0943951023931953]	[-1.77865226e-06 -9.99998221e-01]
[2.451337, 1, 1.0471975511965976, 2.0943951023931953]	[ 4.97326693e-07 -1.00000050e+00]
[6.080315, 1, 1.0471975511965976, 2.0943951023931953]	[ 4.20900358e-07 -1.00000042e+00]
[0.20287, 1, 2.0943951023931953, 1.0471975511965976]	[-1.25158219e-06 -9.99998748e-01]
[3.831849, 1, 2.0943951023931953, 1.0471975511965976]	[ 1.07951477e-06 -1.00000108e+00]
[3.83185, 1, 2.0943951023931953, 1.0471975511965976]	[ 3.35547933e-06 -1.00000336e+00]
[0.202873, 1, 2.0943951023931953, 1.0471975511965976]	[ 6.86102856e-06 -1.00000686e+00]
[2.848305, 1, 2.0943951023931953, 2.0943951023931953]	[ 2.08042992e-05 -1.00002080e+00]
[2.848283, 1, 2.0943951023931953, 2.0943951023931953]	[-2.29864886e-05 -9.99977014e-01]
[5.769968, 1, 2.0943951023931953, 2.0943951023931953]	[ 6.77900710e-06 -1.00000678e+00]
[5.769966, 1, 2.0943951023931953, 2.0943951023931953]	[ 3.17823002e-07 -1.00000032e+00]
[2.370377, 1, 2.0943951023931953, 3.141592653589793]	[ 3.57344960e-06 -1.00000357e+00]
[2.370379, 1, 2.0943951023931953, 3.141592653589793]	[ 1.02521358e-05 -1.00001025e+00]
[2.370376, 1, 2.0943951023931953, 3.141592653589793]	[ 2.34072765e-07 -1.00000023e+00]
[1e-05, 1, 3.141592653589793, 1.0471975511965976]	[ 1.73203581e-05 -1.00001732e+00]
[6.283185, 1, 3.141592653589793, 1.0471975511965976]	[-5.32050792e-07 -9.99999468e-01]
[3.141594, 1, 3.141592653589793, 2.0943951023931953]	[ 2.33204273e-06 -1.00000233e+00]
[3.141593, 1, 3.141592653589793, 2.0943951023931953]	[ 5.99999538e-07 -1.00000060e+00]
[0.0, 2, 0.0, 2.0943951023931953]	[-4.4408921e-16 -1.0000000e+00]
[3.829835, 2, 1.0471975511965976, 0.0]	[-5.20964797e-07 -9.99999479e-01]
[3.829837, 2, 1.0471975511965976, 0.0]	[ 6.69325893e-06 -1.00000669e+00]
[0.93593, 2, 1.0471975511965976, 1.0471975511965976]	[ 1.25884635e-06 -1.00000126e+00]
[0.935931, 2, 1.0471975511965976, 1.0471975511965976]	[ 3.57145345e-06 -1.00000357e+00]
[0.93594, 2, 1.0471975511965976, 1.0471975511965976]	[ 2.43843960e-05 -1.00002438e+00]
[3.709422, 2, 1.0471975511965976, 1.0471975511965976]	[-4.09636257e-08 -9.99999959e-01]
[2.205658, 2, 1.0471975511965976, 2.0943951023931953]	[-1.20209617e-05 -9.99987979e-01]
[2.205662, 2, 1.0471975511965976, 2.0943951023931953]	[-2.77035941e-06 -9.99997230e-01]
[2.205644, 2, 1.0471975511965976, 2.0943951023931953]	[-4.43993053e-05 -9.99955601e-01]
[2.205659, 2, 1.0471975511965976, 2.0943951023931953]	[-9.70829638e-06 -9.99990292e-01]
[2.205663, 2, 1.0471975511965976, 2.0943951023931953]	[-4.57733365e-07 -9.99999542e-01]
[2.205661, 2, 1.0471975511965976, 2.0943951023931953]	[-5.08299526e-06 -9.99994917e-01]
[5.594943, 2, 1.0471975511965976, 3.141592653589793]	[ 6.62474150e-07 -1.00000066e+00]
[0.688242, 2, 2.0943951023931953, 0.0]	[-1.77051527e-06 -9.99998229e-01]
[4.077524, 2, 2.0943951023931953, 1.0471975511965976]	[ 4.37256145e-06 -1.00000437e+00]
[4.077522, 2, 2.0943951023931953, 1.0471975511965976]	[-2.52656304e-07 -9.99999747e-01]
[4.077526, 2, 2.0943951023931953, 1.0471975511965976]	[ 8.99773287e-06 -1.00000900e+00]
[4.077542, 2, 2.0943951023931953, 1.0471975511965976]	[ 4.5997436e-05 -1.0000460e+00]
[4.077523, 2, 2.0943951023931953, 1.0471975511965976]	[ 2.05995837e-06 -1.00000206e+00]
[4.077527, 2, 2.0943951023931953, 1.0471975511965976]	[ 1.13103012e-05 -1.00001131e+00]
[5.347255, 2, 2.0943951023931953, 2.0943951023931953]	[-1.96924103e-06 -9.99998031e-01]
[2.573764, 2, 2.0943951023931953, 2.0943951023931953]	[ 1.11117731e-06 -1.00000111e+00]
[5.347245, 2, 2.0943951023931953, 2.0943951023931953]	[-2.50960069e-05 -9.99974904e-01]
[5.347256, 2, 2.0943951023931953, 2.0943951023931953]	[ 3.43381613e-07 -1.00000034e+00]
[2.453348, 2, 2.0943951023931953, 3.141592653589793]	[-7.80140297e-06 -9.99992199e-01]
[2.45335, 2, 2.0943951023931953, 3.141592653589793]	[-5.87073486e-07 -9.99999413e-01]
[0.0, 2, 3.141592653589793, 1.0471975511965976]	[-2.22044605e-16 -1.00000000e+00]
